"","XYorvariant","sex.imputed","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","RangeSize","Longitude","Latitude","Insularity","AbsoluteLatitude","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","perc.acro"
"Atilax paludinosus",1,"0","YAfusion","Atilax paludinosus","Atilax","Herpestidae","Carnivora","Carnivora","Mammalia","G. CUVIER 1829",1829,"Mammals",0,640,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",4100,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,6,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,1,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Atilax paludinosus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1312,20.56400116,-2.253209464,0,2.253209464,"This work",1,0,0,0,0,0,0,0,233.7448591,1197.525106,1712.893175,81.04214193,716.1278318,487.4002171,63.78904354,0.002395966,0.115041031,0.148447575,0.085563192,"0.117647059"
"Bdeogale crassicauda",0,"1","XY","Bdeogale crassicauda","Bdeogale","Herpestidae","Carnivora","Carnivora","Mammalia","PETERS 1852",1852,"Mammals",0,455,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",2100,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Bdeogale crassicauda","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",193,35.10105316,-12.00841887,0,12.00841887,"This work",1,0,0,0,0,0,0,0,226.4935359,1037.240472,1933.938075,98.13479388,730.4617153,387.5227375,56.99173807,0.001484217,0.108014265,0.220631573,0.073687252,NA
"Bdeogale jacksoni",0,"1","XY","Bdeogale jacksoni","Bdeogale","Herpestidae","Carnivora","Carnivora","Mammalia","THOMAS 1894",1894,"Mammals",1,571,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",3000,1,"Phylogenetic Multiple Imputation",0,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Bdeogale jacksoni","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",12,35.01183387,0.462010915,0,0.462010915,"This work",1,0,0,0,0,0,0,0,196.5737911,1153.892383,1028.253735,52.75048088,1664.677555,245.5037731,325.244874,0.00831539,0.323345248,0.24142471,0.005732286,NA
"Bdeogale nigripes",0,"0","XY","Bdeogale nigripes","Bdeogale","Herpestidae","Carnivora","Carnivora","Mammalia","PUCHERAN 1855",1855,"Mammals",0,650,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",4800,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Bdeogale nigripes","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",217,18.07967164,2.044547192,0,2.044547192,"This work",1,0,0,0,0,0,0,0,235.3760038,1724.400287,853.9202394,55.1408407,563.9192262,679.2690756,27.93010574,0.001152522,0.040164162,0.046954153,0.027425275,"0.16666667"
"Bdeogale omnivora",0,"1","XY","Bdeogale omnivora","Bdeogale","Herpestidae","Carnivora","Carnivora","Mammalia","HELLER 1913",1913,"Mammals",1,420,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1750,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",0,1,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",1,0,1,0,0,0,0,"Soria, Pacifici, Di Marco, Stephen, and Rondinini, 2021, Ecology, 102:e03344",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Bdeogale omnivora","VU","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",11,39.97805766,-3.123606803,0,3.123606803,"This work",1,0,0,0,0,0,0,0,261.5270855,810.2332077,1225.971647,68.07164436,112.4369261,461.1445359,230.2896742,0.003003229,0.109826379,0.225824158,0.01190602,NA
"Crossarchus alexandri",0,"0","XY","Crossarchus alexandri","Crossarchus","Herpestidae","Carnivora","Carnivora","Mammalia","THOMAS & WROUGHTON 1907",1907,"Mammals",0,437,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1450,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crossarchus alexandri","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",143,23.98838955,-0.156580295,0,0.156580295,"This work",1,0,0,0,0,0,0,0,232.0388674,1760.291959,579.7746098,37.99071229,588.2789652,583.4698131,35.40164703,0.001386384,0.046242343,0.047552482,0.003854108,NA
"Crossarchus ansorgei",0,"1","XY","Crossarchus ansorgei","Crossarchus","Herpestidae","Carnivora","Carnivora","Mammalia","THOMAS 1910",1910,"Mammals",0,342,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",700,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crossarchus ansorgei","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",68,21.6154587,-1.46049117,0,1.46049117,"This work",1,0,0,0,0,0,0,0,237.0787562,1814.161185,450.5579362,35.83382667,424.6918133,654.5236292,17.10549824,0.000518474,0.022934962,0.038949319,0.006101164,NA
"Crossarchus obscurus",0,"0","XY","Crossarchus obscurus","Crossarchus","Herpestidae","Carnivora","Carnivora","Mammalia","F. CUVIER 1825",1825,"Mammals",0,367,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1160,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crossarchus obscurus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",65,-6.238910079,6.885060899,0,6.885060899,"This work",1,0,0,0,0,0,0,0,256.3487069,1820.178894,1101.819054,62.99297877,203.4605415,281.0919226,125.8041783,0.007689181,0.230750908,0.243561289,0.001697753,"0"
"Crossarchus platycephalus",0,"1","XY","Crossarchus platycephalus","Crossarchus","Herpestidae","Carnivora","Carnivora","Mammalia","GOLDMAN 1984",1984,"Mammals",0,407,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1500,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crossarchus platycephalus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",72,10.72108285,3.967504275,0,3.967504275,"This work",1,0,0,0,0,0,0,0,239.9913825,1887.001268,880.3565173,59.2745639,417.9738201,660.0638561,179.6053508,0.0053324,0.121239906,0.079456273,0.000409217,NA
"Cynictis penicillata",0,"0","XY","Cynictis penicillata","Cynictis","Herpestidae","Carnivora","Carnivora","Mammalia","G. CUVIER 1829",1829,"Mammals",0,460,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",900,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Cynictis penicillata","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",228,21.97078141,-25.33613553,0,25.33613553,"This work",1,0,0,0,0,0,0,0,193.7113174,384.0637395,4379.381659,84.0080558,1100.248469,560.275643,18.71795841,0.002000659,0.039476231,0.031153182,0.406859275,"0"
