"","XYorvariant","sex.imputed","sex","Scientific.Name","Genus","Family","Suborder","Order","Class","Authority","YearOfDescription","TreeTaxon","TreeImputed","BodyLength_mm","LengthMeasure","ImputedLength","SourceBodyLength","BodyMass_g","ImputedMass","SourceBodyMass","Diu","Noc","ImputedActTime","SourceActTime","Nocturnality","Fos","Ter","Aqu","Arb","Aer","ImputedHabitat","SourceHabitat","Verticality","MajorHabitat_1","MajorHabitat_2","MajorHabitat_3","MajorHabitat_4","MajorHabitat_5","MajorHabitat_6","MajorHabitat_7","MajorHabitat_8","MajorHabitat_9","MajorHabitat_10","MajorHabitat_12","MajorHabitat_13","MajorHabitat_14","MajorHabitat_15","MajorHabitat_16","MajorHabitat_17","MajorHabitatSum","ImputedMajorHabitat","SourceMajorHabitat","EcoTer","EcoFresh","EcoMar","EcosystemSum","ImputedEcosystem","SourceEcosystem","IUCN_Binomial","AssessedStatus","SourceStatus","AssessedStatus2","SourceStatus2","ThreatStatus","ImputedThreatStatus","AbsoluteLatitude","RangeSize","RangeSize_km2","Longitude","Latitude","Insularity","SourceInsularity","Afrotropic","Australasia","IndoMalay","Nearctic","Neotropic","Oceania","Palearctic","Antarctic","AnnuMeanTemp","AnnuPrecip","TempSeasonality","PrecipSeasonality","Elevation","ETA50K","HumanDensity","PropUrbanArea","PropCroplandArea","PropPastureArea","PropRangeLandArea","PropGrazingArea","PropAnthroHyde","DietInv","DietVend","DietVect","DietVfish","DietVunk","DietScav","DietFruit","DietNect","DietSeed","DietPlant","SourceDiet","DietBreadth","MaxLongevity","SourceLongevity","LitterSize","LitterSize_Metric","SourceLitterSize","DirectDev","LarvalStage","Viviparity","SourceDirectDev","SourceLarvalStage","BiomeNum_1","BiomeNum_2","BiomeNum_3","BiomeNum_4","BiomeNum_5","BiomeNum_6","BiomeNum_7","BiomeNum_8","BiomeNum_9","BiomeNum_10","BiomeNum_11","BiomeNum_12","BiomeNum_13","BiomeNum_14","PopulationTrend","Threat_1","Threat_2","Threat_3","Threat_4","Threat_5","Threat_6","Threat_7","Threat_8","Threat_9","Threat_10","Threat_11","Threat_12","ThreatSum","perc.acro","perc.acro.binned","haploid","auto.hap"
"Atilax paludinosus",1,"0","YAfusion","Atilax paludinosus","Atilax","Herpestidae","Carnivora","Carnivora","Mammalia","G. CUVIER 1829",1829,"Mammals",0,640,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",4100,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,6,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,1,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Atilax paludinosus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,2.253209464,1312,14049153.45,20.56400116,-2.253209464,0,"This work",1,0,0,0,0,0,0,0,233.7448591,1197.525106,1712.893175,81.04214193,716.1278318,487.4002171,63.78904354,0.002395966,0.115041031,0.148447575,0.085563192,0.24064821,0.265884573,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,17.41666667,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","2","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.198932927,0.00152439,0,0,0,0,0.692835366,0,0.019817073,0.026676829,0,0.013719512,0.037347561,0.006859756,0,1,0,0,0,1,0,1,0,0,0,0,0,3,0.117647059,"(0.01,0.25]",18,17
"Bdeogale nigripes",0,"0","XY","Bdeogale nigripes","Bdeogale","Herpestidae","Carnivora","Carnivora","Mammalia","PUCHERAN 1855",1855,"Mammals",0,650,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",4800,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",0,1,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Bdeogale nigripes","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,2.044547192,217,2110589.475,18.07967164,2.044547192,0,"This work",1,0,0,0,0,0,0,0,235.3760038,1724.400287,853.9202394,55.1408407,563.9192262,679.2690756,27.93010574,0.001152522,0.040164162,0.046954153,0.027425275,0.092468342,0.088270837,1,1,0,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,15.83333333,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","1","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.612903226,0,0,0,0,0,0.373271889,0,0,0,0,0,0,0.00921659,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0.16666667,"(0.01,0.25]",18,17
"Crossarchus obscurus",0,"0","XY","Crossarchus obscurus","Crossarchus","Herpestidae","Carnivora","Carnivora","Mammalia","F. CUVIER 1825",1825,"Mammals",0,367,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1160,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Crossarchus obscurus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,6.885060899,65,492130.9667,-6.238910079,6.885060899,0,"This work",1,0,0,0,0,0,0,0,256.3487069,1820.178894,1101.819054,62.99297877,203.4605415,281.0919226,125.8041783,0.007689181,0.230750908,0.243561289,0.001697753,0.248857872,0.482001378,1,0,1,0,0,0,1,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,9,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","4.29","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.615384615,0,0,0,0,0,0.353846154,0,0,0,0,0,0,0.030769231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"[0,0.01]",18,17
"Cynictis penicillata",0,"0","XY","Cynictis penicillata","Cynictis","Herpestidae","Carnivora","Carnivora","Mammalia","G. CUVIER 1829",1829,"Mammals",0,460,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",900,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Cynictis penicillata","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,25.33613553,228,2252272.009,21.97078141,-25.33613553,0,"This work",1,0,0,0,0,0,0,0,193.7113174,384.0637395,4379.381659,84.0080558,1100.248469,560.275643,18.71795841,0.002000659,0.039476231,0.031153182,0.406859275,0.450999914,0.072630072,1,0,0,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,15.2,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","2.15","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0,0,0,0,0,0,0.350877193,0,0.00877193,0.078947368,0,0.078947368,0.48245614,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"[0,0.01]",18,17
"Helogale parvula",0,"0","XY","Helogale parvula","Helogale","Herpestidae","Carnivora","Carnivora","Mammalia","SUNDEVALL 1847",1847,"Mammals",0,227,"HBL",0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",341,0,"Kingdon, Happold, Butynski, Hoffmann, Happold, and Kalina, 2013. Mammals of Africa, v. 1-6. London: Bloomsbury Publishing",1,0,0,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",0,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Helogale parvula","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,7.219326212,686,7348514.423,32.32822625,-7.219326212,0,"This work",1,0,0,0,0,0,0,0,225.0303194,864.718155,1884.135371,94.12427426,937.6492039,536.3956184,48.65387941,0.00160426,0.08054949,0.124775274,0.158017919,0.289844375,0.206929025,1,0,0,0,1,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",2,10.91666667,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","3.49","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.072886297,0.002915452,0,0,0,0,0.813411079,0,0.014577259,0.027696793,0,0,0.062682216,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"[0,0.01]",18,17
"Urva brachyura",1,"0","YAfusion","Urva brachyura","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","GRAY, 1837",1837,"Mammals",0,445,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1853.52,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",1,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes brachyurus","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","NT","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","NT",0,0.860927765,161,1271944.279,114.2051735,0.860927765,0,"This work",0,0,1,0,0,0,0,0,252.4393284,2913.421836,339.3764902,25.73697237,243.5833461,1173.642167,76.21436426,0.003690118,0.200769252,0.030303791,2.6e-07,0.037493184,0.234763161,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,8.9,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","3.49","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.944099379,0,0,0,0,0,0,0,0,0,0,0,0,0.031055901,0,0,1,0,0,1,0,1,0,0,0,0,0,3,0,"[0,0.01]",18,17
"Urva edwardsii",1,"0","YAfusion","Urva edwardsii","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(É. GEOFFROY SAINT-HILAIRE, 1818)",1818,"Mammals",0,480,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1300,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1,1,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes edwardsii","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,24.00722179,446,4314126.844,73.86179638,24.00722179,0,"This work",0.002242152,0,0.719730942,0,0,0,0.278026906,0,249.2939416,846.8634198,5211.870751,113.0763944,476.1493317,210.2724727,377.9024509,0.00579236,0.359730436,0.014547596,0.023943101,0.046453556,0.380070391,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,12.30833333,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","2","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.248878924,0.186098655,0.015695067,0.038116592,0.002242152,0,0.002242152,0,0.002242152,0.011210762,0,0.002242152,0.475336323,0.00896861,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"[0,0.01]",18,17
"Urva fusca",1,"0","YAfusion","Urva fusca","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","WATERHOUSE, 1838",1838,"Mammals",0,650,"HBL",0,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",2700,0,"Faurby and Svenning, 2016, Am. Nat., 187:812-20",1,1,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes fuscus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,7.661929603,22,42988.50509,80.21228281,7.661929603,0,"This work",0,0,1,0,0,0,0,0,261.7047493,1956.963503,1075.282973,76.24614502,278.5944585,181.8896699,684.973454,0.006190878,0.203221257,0.022371026,5.45e-05,0.022799077,0.23178316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,12.6,"Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109","2.745","Midpoint","Myhrvold, Baldridge, Chan, Sivam, Freeman, and Ernest, 2015, Ecology, 96:3109-3109",1,0,1,"Assumed for this work","Assumed for this work",0.5,0.409090909,0,0,0,0,0,0,0,0,0,0,0.045454545,0,1,1,0,0,0,1,0,0,0,1,0,0,0,3,0,"[0,0.01]",18,17
"Herpestes ichneumon",1,"0","YAfusion","Herpestes ichneumon","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","LINNAEUS 1758",1758,"Mammals",0,608,"HBL",0,"Hoath, 2009. A Field Guide to the Mammals of Egypt. The American University in Cairo Press, New York, 322 p.",4000,0,"Hoath, 2009. A Field Guide to the Mammals of Egypt. The American University in Cairo Press, New York, 322 p.",0,1,0,"Burton, 2002. Mammals of Britain and Europe. Kingfisher Publications, London, 192 p.",1,0,1,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",0.5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes ichneumon","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,2.239355946,1459,14479380.57,21.70836079,2.239355946,0,"This work",0.813570939,0,0,0,0,0,0.186429061,0,236.095686,967.6026963,2443.562095,94.44543176,677.6624574,454.3569126,76.27071271,0.002646092,0.1299361,0.130992,0.097859815,0.24898974,0.263574193,1,1,1,1,0,0,1,0,1,1,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027; Maiorano, Montemaggiori, Ficetola, O-Connor, and Thuiller, 2020, Glob. Ecol. Biogeogr., 29:1452-1457",7,20,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","3","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.126113777,0.001370802,0,0.008910212,0.000685401,0,0.625085675,0.001370802,0.020562029,0.013708019,0,0.102124743,0.089787526,0.005483208,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0.380952381,"(0.25,0.4]",22,21
"Urva javanica",1,"0","YAfusion","Urva javanica","Herpestes","Herpestidae","Carnivora","Carnivora","Mammalia","(É. GEOFFROY SAINT-HILAIRE, 1818)",1818,"Mammals",0,420,"HBL",0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1800,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",1,1,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,0,1,0,0,0,0,"Francis, 2019. Field Guide to the Mammals of Southeast Asia. Bloomsbury, London, 416 p.",0.5,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,8,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1",1,0,0,1,0,"IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","Herpestes javanicus","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC","IUCN 2024. The IUCN Red List of Threatened Species. Version 2023-1","LC",0,27.41817375,654,6061269.472,75.90313369,27.41817375,0,"This work",0.006116208,0,0.810397554,0,0,0,0.183486239,0,227.7502993,1292.351557,4648.88351,96.2591939,610.2906357,295.6055337,307.4002484,0.006406334,0.274107881,0.033355162,0.03195761,0.067561408,0.313869377,1,1,1,0,0,0,0,0,0,0,"Wilman, Belmaker, Simpson, de la Rosa, Rivadeneira, and Jetz, 2014, Ecology, 95:2027-2027",3,10,"Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648","2.21","CentralTendency","Jones, Bielby, Cardillo, Fritz, O'Dell, Orme, ... and Purvis, 2009, Ecology, 90:2648-2648",1,0,1,"Assumed for this work","Assumed for this work",0.544342508,0.145259939,0.012232416,0.010703364,0.003058104,0,0.001529052,0,0.001529052,0.035168196,0,0,0.221712538,0.019877676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"[0,0.01]",18,17
